Customer_ID,Customer_Email,Customer_Address,Customer_Region,Customer_DOB
Stacy Merritt,egestas@aol.net,414-1352 In Rd.,Northern Cape,5
Cathleen Ayers,bibendum.sed.est@google.com,334-961 Sodales. St.,Vinnytsia oblast,6
Brooke Robles,metus.aliquam@outlook.couk,588-1157 Molestie Street,Niger,8
Sybil Sparks,ante.bibendum.ullamcorper@aol.org,Ap #525-8614 Facilisis Rd.,Basilicata,5
Lynn Baldwin,donec.at@outlook.org,Ap #396-1848 Velit. Ave,Tomsk Oblast,7
Tyrone Gardner,semper.nam.tempor@aol.net,408-286 Eu Road,Lviv oblast,4
Benedict Weiss,ipsum.suspendisse.sagittis@yahoo.edu,"Ap #145-4741 Ante, St.",West Region,6
Keely Fisher,dolor.nulla@aol.net,Ap #930-268 Curabitur St.,Central Region,5
Dacey Hogan,in.magna@yahoo.edu,"703 Ac, Av.",Mexico City,5
Ocean Schneider,augue@icloud.edu,778-6726 Erat. Road,Central Visayas,7
