Customer_ID,Customer_Name,Customer_Email,Customer_City,Customer_Region,Customer_DOB
354,Hyatt Fitzgeral,donc.at.arcu@hotmail.couk,Broxburn,East Region,12-08-22
345,Brett Shepher,non.lcinia.at@google.org,Querétaro,Jammu and Kashmir,10-08-23
0495,Inga Zamor,tincidunt.oci@icloud.net,Southern Islands,Nordland,14-10-22
4601,Chadwic Serrano,mauris.sspendisse@hotmail.com,Porto Cesareo,West Region,25-10-22
4356,Hamilto Houston,arcu.nc@google.org,Warszawa,Utah,24-07-22
2340,Simon Farle,urna.nun@outlook.couk,Cambrai,Queensland,02-03-23
3433,Hyat Fitzgerald,donec.at.arcu@hotmai.couk,Broxburn,East Region,12-08-22
3241,Bret Shepherd,non.lacinia.at@googl.org,Querétaro,Jammu and Kashmir,10-08-23
42340,Iga Zamora,tincidunt.orci@iclou.net,Southern Islands,Nordland,14-10-22
43241,Cadwick Serrano,mauris.suspendisse@hotmai.com,Porto Cesareo,West Region,25-10-22
4326,Hailton Houston,arcu.nunc@googl.org,Warszawa,Utah,24-07-22
02343,Smone Farley,urna.nunc@outloo.couk,Cambrai,Queensland,02-03-23
34233,Mnerva Benjamin,ipsum.ac.mi@googl.ca,Uzhhorod,Thái Bình,12-05-22
53243,Yel Clemons,faucibus.orci@hotmai.com,Thái Nguyên,Niedersachsen,07-10-23
53423,Jmeson Hooper,consectetuer.mauris.id@outloo.couk,Nevers,Opolskie,11-10-22
22343,Rja Hawkins,vulputate.nisi@outloo.org,Morelia,Caquetá,15-10-23
