Credit_Card_Number|Credit_Card_CVV|Country
4485683945504|823|Saudi Arabia
4916272321863|693|Ireland
4716 905 97 4538|253|France
4485651272592|421|Pitcairn Islands
4916 217 61 4810|679|Tunisia
4485689244389173|820|Nepal
4916 186 59 7152|273|Nicaragua
4532796388851034|533|Saint Kitts and Nevis
4532 3258 8494 6872|609|United Arab Emirates
4024 0071 9916 3956|526|Marshall Islands
455633 352560 9256|648|Cape Verde
4532 723 72 0833|336|American Samoa
4752 973 17 1186|282|Holy See (Vatican City State)
4560 7658 9237 3327|197|Senegal
471661 131628 7029|903|Christmas Island
4024 007 15 3584|209|Indonesia
4952828448656706|538|Lebanon
4532563483401|994|Guyana
4716390460645569|451|United Kingdom (Great Britain)
4929091120677553|177|Croatia
4716058478212|220|Bulgaria
492963 3004043814|916|Sao Tome and Principe
4916942360504615|714|Jamaica
4532306357188747|237|Heard Island and Mcdonald Islands
4532 875 76 0942|112|Moldova
463 20275 27507 041|873|Philippines
402400 715242 3884|297|Senegal
455653 2378415071|782|Mali
4803961160267|764|Maldives
4716970423924|461|Moldova
4929 171 74 7773|383|Norway
4556 477 30 9741|308|New Caledonia
4132917149913004|862|South Africa
4929570648218|754|Israel
4342 957 38 4433|759|Qatar
4485 697 92 7399|312|Estonia
4024007140706|383|Kiribati
455649 8250048200|645|Poland
4556 2004 3203 4193|168|Indonesia
4532881977506|397|Ukraine
4024007166176130|510|Saint Lucia
4532 409 01 3735|618|South Africa
402400 7159643625|188|Viet Nam
4916922299261|129|Burundi
491 67900 14778 154|500|Poland
457696 3384676909|543|Japan
4024 0071 4891 6637|649|Cambodia
4485712189129535|411|Falkland Islands
4929738856982025|184|Guatemala
492847 1281256291|357|Czech Republic
4916 896 32 8765|458|Ecuador
4485 625 61 2147|914|Samoa
4539820325598|810|Turkey
4097 118 13 9221|895|Cameroon
4485629125377343|502|Samoa
4929894650123694|817|Bosnia and Herzegovina
4916345999539|382|Botswana
492945 5489709432|923|Bulgaria
4369 881 26 5859|676|Bahamas
455637 284611 2137|758|Andorra
4024 007 12 9576|754|Jordan
4539274369724359|684|Papua New Guinea
4024 007 18 9901|343|San Marino
4916268804385|152|Venezuela
471654 7587129567|506|Sao Tome and Principe
4556842175058|933|Côte D'Ivoire (Ivory Coast)
4539787614837122|970|Saudi Arabia
4716912563910|436|Lesotho
4916 153 79 2505|363|Yemen
4024007154175706|683|France
492941 4839126623|464|Angola
448596 4575793834|633|Tokelau
491 66448 93664 797|113|Romania
4485085471086105|427|Niue
4916 312 53 5159|758|Philippines
4539139569894|222|"Bonaire| Sint Eustatius and Saba"
455660 566135 1607|426|Austria
471 65451 17237 686|544|Guinea-Bissau
4532326317698|785|San Marino
455633 378528 5169|434|Timor-Leste
4228197309746|943|Oman
4539 6666 6476 0147|671|Slovakia
4539 340 95 5106|918|Nicaragua
4024007125962|645|South Sudan
402400 712467 0836|392|Sierra Leone
4485 043 99 0141|480|Spain
455646 8173049023|772|Palau
448 59163 39515 663|490|Argentina
4929 973 38 5004|421|Belarus
492 94279 71487 579|833|British Indian Ocean Territory
4929813493752|351|Cameroon
448524 7628336193|551|Mozambique
453236 190720 2803|232|Maldives
491 64971 72261 573|876|Anguilla
4556148038504707|213|"Saint Helena| Ascension and Tristan da Cunha"
4556 085 09 3448|454|Guyana
4485 357 40 8003|371|Puerto Rico
402 40071 27296 217|541|Belgium
4485971343917|787|Jersey
492981 3137245169|237|Zambia
